season,week,game_id,gameday,player_id,player_name,position,team,opponent_team,is_home,spread_line,total_line,implied_team_total,depth_rank,likely_role,snap_pct_last,snap_pct_roll3,snap_pct_season,injury_status,injury_type,n_prior_games,n_prior_games_this_season,projection,low_80,high_80,model_projection,availability_note,game_status,actual_fp,scoring_profile,top_drivers
2026,3,2026_03_LV_NO,2026-09-27,00-0041041,Oscar Delp,TE,NO,LV,1,3.0,43.5,23.25,3.0,False,0.13,0.13,0.13,,,2,2,0.83,-0.15,1.99,0.83,,upcoming,,half_ppr,fp_roll=0.65 (-0.5); snap_pct_last=0.13 (-0.4); fp_season_avg=0.65 (-0.2)
2026,3,2026_03_MIN_TB,2026-09-27,00-0041081,Max Bredeson,RB,MIN,TB,0,-1.5,42.5,22.0,,True,0.33,0.35,0.35,,,2,2,0.82,-0.16,1.98,0.82,,upcoming,,half_ppr,fp_roll=0 (-1.0); fp_season_avg=0 (-0.8); depth_rank_filled=9 (-0.4)
2026,3,2026_03_BAL_DAL,2026-09-27,00-0035993,Tyler Huntley,QB,BAL,DAL,0,-3.5,53.5,28.5,2.0,True,1.0,0.5499999999999999,0.0,,,79,2,0.82,-0.16,1.98,0.82,,upcoming,,half_ppr,fp_roll=0 (-1.4); position_code=0 (-0.9); fp_season_avg=0 (-0.6)
2026,3,2026_03_NYJ_DET,2026-09-27,00-0040736,Mason Taylor,TE,NYJ,DET,0,6.5,47.5,20.5,2.0,True,0.46,0.5933333333333334,0.56,Did Not Participate In Practice,Thumb,18,2,0.82,-0.16,1.98,0.82,,upcoming,,half_ppr,injury_severity=3 (-0.7); fp_roll=0.267 (-0.7); injury_analog_delta=-2.57 (-0.6)
2026,3,2026_03_ARI_SF,2026-09-27,00-0038640,Jalen Brooks,WR,ARI,SF,0,8.5,47.5,19.5,4.0,False,0.04,0.12000000000000001,0.045,,,42,2,0.81,-0.17,1.97,0.81,,upcoming,,half_ppr,depth_rank_filled=4 (-1.1); fp_roll=0 (-0.6); snap_pct_last=0.04 (-0.4)
2026,3,2026_03_LA_DEN,2026-09-27,00-0038976,Marvin Mims Jr.,WR,DEN,LA,1,-2.5,44.5,21.0,3.0,True,0.18,0.3233333333333333,0.18,Limited Participation in Practice,Foot,53,2,0.79,-0.19,1.95,0.79,,upcoming,,half_ppr,depth_rank_filled=3 (-1.0); snap_pct_last=0.18 (-0.5); fp_roll=0.667 (-0.4)
2026,3,2026_03_ARI_SF,2026-09-27,00-0036972,Mac Jones,QB,SF,ARI,1,8.5,47.5,28.0,2.0,False,0.15,0.08666666666666667,0.15,,,87,2,0.79,-0.19,1.95,0.79,,upcoming,,half_ppr,fp_roll=-0.0667 (-0.8); fp_season_avg=-0.1 (-0.6); position_code=0 (-0.4)
2026,3,2026_03_PHI_CHI,2026-09-28,00-0041051,Zavion Thomas,WR,CHI,PHI,1,-4.5,41.5,18.5,4.0,False,0.03,0.015,0.015,,,2,2,0.78,-0.2,1.94,0.78,,upcoming,,half_ppr,depth_rank_filled=4 (-1.1); fp_roll=0 (-0.4); snap_pct_last=0.03 (-0.3)
2026,3,2026_03_MIN_TB,2026-09-27,00-0040154,Tai Felton,WR,MIN,TB,0,-1.5,42.5,22.0,4.0,False,0.0,0.06,0.025,,,19,2,0.78,-0.2,1.94,0.78,,upcoming,,half_ppr,depth_rank_filled=4 (-1.1); fp_roll=0 (-0.4); snap_pct_last=0 (-0.4)
2026,3,2026_03_LA_DEN,2026-09-27,00-0039751,Jordan Whittington,WR,LA,DEN,0,-2.5,44.5,23.5,3.0,True,0.41,0.20333333333333334,0.41,Did Not Participate In Practice,Quadricep,36,2,0.78,-0.2,1.94,0.78,,upcoming,,half_ppr,injury_severity=3 (-0.9); fp_roll=0.433 (-0.8); depth_rank_filled=3 (-0.4)
