season,week,game_id,gameday,player_id,player_name,position,team,opponent_team,is_home,spread_line,total_line,implied_team_total,depth_rank,likely_role,snap_pct_last,snap_pct_roll3,snap_pct_season,injury_status,injury_type,n_prior_games,n_prior_games_this_season,projection,low_80,high_80,model_projection,availability_note,game_status,actual_fp,scoring_profile,top_drivers
2026,3,2026_03_ATL_GB,2026-09-24,00-0040948,J. Michael Sturdivant,WR,GB,ATL,1,4.5,43.5,24.0,6.0,False,0.15,0.15,0.15,,,2,2,0.82,-0.28,2.12,0.82,,played,5.2,ppr,depth_rank_filled=6 (-0.9); fp_season_avg=0 (-0.8); fp_roll=0 (-0.7)
2026,3,2026_03_MIN_TB,2026-09-27,00-0039050,Payne Durham,TE,TB,MIN,1,-1.5,42.5,20.5,2.0,True,0.06,0.15,0.09,,,53,2,0.82,-0.28,2.12,0.82,,upcoming,,ppr,fp_roll=0 (-0.6); fp_season_avg=0 (-0.6); injury_analog_delta=-1.75 (-0.4)
2026,3,2026_03_BAL_DAL,2026-09-27,00-0037077,Sam Howell,QB,DAL,BAL,1,-3.5,53.5,25.0,2.0,False,0.0,0.0,0.0,,,70,2,0.82,-0.28,2.12,0.82,,upcoming,,ppr,position_code=0 (-1.3); fp_roll=0 (-0.7); fp_season_avg=0 (-0.7)
2026,3,2026_03_NYJ_DET,2026-09-27,00-0041056,Cade Klubnik,QB,NYJ,DET,0,6.5,47.5,20.5,2.0,False,0.0,0.0,0.0,,,2,2,0.82,-0.28,2.12,0.82,,upcoming,,ppr,position_code=0 (-1.7); fp_roll=0 (-0.7); fp_season_avg=0 (-0.7)
2026,3,2026_03_NE_JAX,2026-09-27,00-0040718,Travis Hunter,WR,JAX,NE,1,3.0,46.5,24.75,5.0,False,0.1,0.3466666666666667,0.085,,,0,0,0.81,-0.29,2.11,0.81,,upcoming,,ppr,depth_rank_filled=5 (-0.8); fp_season_avg=0 (-0.8); fp_roll=0 (-0.7)
2026,3,2026_03_PHI_CHI,2026-09-28,00-0038498,E.J. Jenkins,TE,PHI,CHI,0,-4.5,41.5,23.0,3.0,False,0.33,0.14666666666666667,0.17500000000000002,,,12,2,0.79,-0.31,2.09,0.79,,upcoming,,ppr,fp_roll=0 (-0.9); fp_season_avg=0 (-0.9); injury_analog_delta=-1.75 (-0.3)
2026,3,2026_03_BAL_DAL,2026-09-27,00-0037120,Tyler Goodson,RB,DAL,BAL,1,-3.5,53.5,25.0,3.0,False,0.05,0.043333333333333335,0.0,,,42,1,0.78,-0.32,2.08,0.78,,upcoming,,ppr,depth_rank_filled=3 (-1.1); fp_season_avg=0 (-0.7); snap_pct_last=0.05 (-0.4)
2026,3,2026_03_SEA_WAS,2026-09-27,00-0041117,Athan Kaliakmanis,QB,WAS,SEA,1,-7.5,40.5,16.5,3.0,False,0.0,0.0,0.0,,,2,2,0.77,-0.33,2.07,0.77,,upcoming,,ppr,fp_season_avg=0 (-0.7); depth_rank_filled=3 (-0.5); implied_team_total=16.5 (+0.3)
2026,3,2026_03_BAL_DAL,2026-09-27,00-0035993,Tyler Huntley,QB,BAL,DAL,0,-3.5,53.5,28.5,2.0,True,1.0,0.5499999999999999,0.0,,,79,2,0.77,-0.33,2.07,0.77,,upcoming,,ppr,position_code=0 (-1.6); fp_roll=0 (-1.3); fp_season_avg=0 (-1.0)
2026,3,2026_03_PHI_CHI,2026-09-28,00-0038400,Tanner McKee,QB,PHI,CHI,0,-4.5,41.5,23.0,3.0,True,1.0,0.4366666666666667,0.0,,,53,2,0.76,0.02,1.39,0.76,,upcoming,,ppr,snap_pct_season=0 (-1.6); fp_season_avg=0 (-1.2); position_code=0 (-1.0)
2026,3,2026_03_SEA_WAS,2026-09-27,00-0040164,Jaylin Lane,WR,WAS,SEA,1,-7.5,40.5,16.5,6.0,False,0.15,0.14333333333333334,0.20500000000000002,Limited Participation in Practice,Groin,17,2,0.75,0.01,1.38,0.75,,upcoming,,ppr,depth_rank_filled=6 (-0.7); snap_pct_last=0.15 (-0.6); fp_season_avg=0.7 (-0.5)
2026,3,2026_03_ARI_SF,2026-09-27,00-0037004,Hunter Long,TE,ARI,SF,0,8.5,47.5,19.5,3.0,False,0.3,0.31999999999999995,0.32499999999999996,,,74,2,0.75,0.0,1.37,0.75,,upcoming,,ppr,fp_season_avg=0 (-0.9); fp_roll=0 (-0.9); injury_analog_delta=-1.75 (-0.2)
2026,3,2026_03_TEN_NYG,2026-09-27,00-0036876,Kylen Granson,TE,TEN,NYG,0,2.5,38.5,18.0,4.0,False,0.0,0.32,0.0,,,87,2,0.74,-0.0,1.37,0.74,,upcoming,,ppr,depth_rank_filled=4 (-0.9); snap_pct_last=0 (-0.8); fp_season_avg=0 (-0.6)
2026,3,2026_03_ATL_GB,2026-09-24,00-0038589,Josh Whyle,TE,GB,ATL,1,4.5,43.5,24.0,3.0,False,0.0,0.2966666666666667,0.08,,,43,2,0.74,-0.01,1.36,0.74,,played,0.0,ppr,fp_season_avg=0 (-0.5); snap_pct_last=0 (-0.5); fp_roll=0.467 (-0.4)
2026,3,2026_03_NE_JAX,2026-09-27,00-0040238,LeQuint Allen Jr.,RB,JAX,NE,1,3.0,46.5,24.75,3.0,False,0.15,0.11666666666666665,0.08499999999999999,Limited Participation in Practice,Hip,19,2,0.73,-0.02,1.35,0.73,,upcoming,,ppr,fp_season_avg=0 (-0.6); fp_roll=0 (-0.5); depth_rank_filled=3 (-0.5)
2026,3,2026_03_CIN_PIT,2026-09-27,00-0041490,Eli Heidenreich,RB,PIT,CIN,1,-3.5,42.5,19.5,3.0,False,0.0,0.02,0.02,,,2,2,0.73,-0.01,1.36,0.73,,upcoming,,ppr,fp_season_avg=0 (-0.7); depth_rank_filled=3 (-0.5); snap_pct_last=0 (-0.4)
